epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1579,1.38435,3.41599,1.26798,0.35158,0.12186,0.17276,0.10294,1.36205,3.07584,1.25542,0.000299435,0.000299435,0.000299435
2,24.6516,1.4397,2.51466,1.32643,0.30058,0.38694,0.28436,0.16354,1.53218,2.23278,1.36656,0.000582555,0.000582555,0.000582555
3,32.6982,1.47892,2.29649,1.33652,0.28944,0.39991,0.28544,0.15892,1.53291,2.26955,1.43213,0.000845677,0.000845677,0.000845677
4,43.054,1.46657,2.23707,1.32872,0.2645,0.39783,0.28047,0.15591,1.50434,2.27591,1.4257,0.000819009,0.000819009,0.000819009
5,53.6078,1.44839,2.09063,1.32502,0.41199,0.40597,0.39875,0.23069,1.51531,1.97197,1.35904,0.000789012,0.000789012,0.000789012
6,61.8566,1.384,1.9774,1.27204,0.41317,0.41101,0.37275,0.21279,1.45998,1.83318,1.30977,0.000759015,0.000759015,0.000759015
7,72.2445,1.38015,1.93165,1.26675,0.49352,0.4361,0.39769,0.2355,1.42504,1.81127,1.28366,0.000729018,0.000729018,0.000729018
8,83.0844,1.33778,1.80938,1.23892,0.46565,0.38635,0.40581,0.23352,1.42909,1.94953,1.27869,0.000699021,0.000699021,0.000699021
9,91.4317,1.34098,1.77006,1.23817,0.46869,0.48724,0.43475,0.25851,1.41869,1.79758,1.30412,0.000669024,0.000669024,0.000669024
10,102.606,1.32848,1.74164,1.2401,0.46273,0.50902,0.45179,0.26407,1.47076,1.72121,1.31626,0.000639027,0.000639027,0.000639027
11,112.422,1.27371,1.62403,1.19891,0.5392,0.4338,0.4646,0.27613,1.41987,1.66485,1.30597,0.00060903,0.00060903,0.00060903
12,124.302,1.27812,1.60746,1.21318,0.49563,0.5107,0.49601,0.30475,1.38705,1.64294,1.27596,0.000579033,0.000579033,0.000579033
13,135.699,1.25545,1.55614,1.19514,0.47418,0.50456,0.4916,0.29998,1.38334,1.69116,1.30423,0.000549036,0.000549036,0.000549036
14,144.75,1.25579,1.51164,1.19634,0.59879,0.50846,0.53762,0.33535,1.34108,1.53691,1.27117,0.000519039,0.000519039,0.000519039
15,157.282,1.21911,1.47449,1.17243,0.54407,0.54629,0.55181,0.33548,1.32739,1.43454,1.27353,0.000489042,0.000489042,0.000489042
16,169.729,1.21642,1.40399,1.17932,0.62384,0.49083,0.51315,0.30968,1.35574,1.58461,1.2499,0.000459045,0.000459045,0.000459045
17,179.566,1.1718,1.37293,1.15649,0.58444,0.53722,0.55594,0.35308,1.35282,1.47341,1.25647,0.000429048,0.000429048,0.000429048
18,191.13,1.18017,1.36064,1.1619,0.62436,0.51495,0.58385,0.36328,1.32234,1.39469,1.23952,0.000399051,0.000399051,0.000399051
19,202.604,1.16743,1.30793,1.14281,0.59274,0.58047,0.60706,0.3758,1.33043,1.43658,1.24596,0.000369054,0.000369054,0.000369054
20,211.346,1.16065,1.27731,1.14059,0.63826,0.58531,0.61373,0.38965,1.31262,1.30301,1.22048,0.000339057,0.000339057,0.000339057
21,224.036,1.09025,1.20656,1.09848,0.59935,0.61399,0.60207,0.38318,1.31361,1.42578,1.25304,0.00030906,0.00030906,0.00030906
22,232.689,1.06905,1.14051,1.08566,0.62444,0.58806,0.62512,0.40303,1.27286,1.32225,1.21355,0.000279063,0.000279063,0.000279063
23,245.039,1.04959,1.08028,1.08015,0.69213,0.54718,0.6251,0.39618,1.2965,1.28828,1.21792,0.000249066,0.000249066,0.000249066
24,256.118,1.04237,1.06526,1.0661,0.7157,0.57467,0.65001,0.41369,1.25876,1.31086,1.19215,0.000219069,0.000219069,0.000219069
25,265,1.01832,1.01193,1.05104,0.66624,0.57608,0.63177,0.39545,1.28627,1.30592,1.20518,0.000189072,0.000189072,0.000189072
26,276.806,1.0192,1.00213,1.06101,0.63911,0.61708,0.63128,0.40956,1.27553,1.25999,1.19991,0.000159075,0.000159075,0.000159075
27,288.742,0.98717,0.94042,1.02952,0.63735,0.64485,0.6672,0.4288,1.29283,1.24617,1.20632,0.000129078,0.000129078,0.000129078
28,297.142,0.97138,0.91564,1.02592,0.73434,0.56153,0.65618,0.42863,1.27147,1.27337,1.19239,9.9081e-05,9.9081e-05,9.9081e-05
29,309.133,0.95764,0.88763,1.01541,0.66227,0.60932,0.65312,0.43517,1.25869,1.25432,1.19909,6.9084e-05,6.9084e-05,6.9084e-05
30,320.919,0.93968,0.86342,1.00915,0.76202,0.53313,0.65752,0.43774,1.25353,1.23257,1.19126,3.9087e-05,3.9087e-05,3.9087e-05
